country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Switzerland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chile,1,7,7,7,7,7,6,6,6,6,,6,6,6,6,6,5,4,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,7,7,7,7,7,6,6,6,6,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cote d'Ivoire,6,6,6,6,6,6,6,6,5,5,,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,6,6,7,6,5,5,5,4,4,4,4,4,5
Cameroon,6,6,6,6,7,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Congo, Dem. Rep.",7,7,7,7,7,6,6,6,6,6,,6,6,7,7,6,6,7,6,6,6,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7
"Congo, Rep.",7,5,5,5,5,7,7,7,7,7,,7,7,7,7,7,7,7,6,6,3,3,4,4,4,7,7,6,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
Colombia,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,3,3,2,2,2,3,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Comoros,,,,5,5,4,5,4,4,4,,4,5,6,6,6,6,6,5,4,4,4,4,4,4,5,5,6,6,6,5,5,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,4,5
Cape Verde,,,,5,6,6,6,6,6,6,,6,6,6,6,5,5,6,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Costa Rica,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cuba,7,7,7,7,7,6,6,6,6,6,,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cyprus,2,2,4,4,3,3,3,3,3,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czech Republic,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Djibouti,,,,,,3,3,3,3,5,,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7
Dominica,,,,,,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Denmark,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dominican Republic,3,3,4,4,4,4,2,2,2,1,,1,1,1,1,1,1,1,2,2,2,3,4,4,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Algeria,6,6,6,7,6,6,6,6,6,6,,6,6,6,6,6,5,6,4,4,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Ecuador,7,7,7,7,6,6,5,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Egypt,6,6,6,6,5,5,5,5,5,5,,5,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6
Eritrea,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Spain,5,5,5,5,5,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Estonia,,,,,,,,,,,,,,,,,,,,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethiopia,5,5,6,7,7,7,7,7,7,7,,7,7,7,7,6,6,7,7,6,6,6,6,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,6,6,6
Finland,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fiji,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,6,5,6,6,6,4,4,4,4,4,4,4,2,6,4,4,4,4,4,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3
France,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gabon,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7
United Kingdom,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,,,,,,,,,,,,,,,,,,,,6,4,5,5,4,4,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4
Ghana,6,7,7,7,7,6,5,4,2,6,,6,7,7,7,7,6,6,6,6,5,5,5,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Guinea,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,5,5,5,5,5,5,5,5,5,5,5
Gambia,2,2,2,2,2,2,2,2,2,3,,3,3,3,3,3,3,2,2,2,1,2,7,7,7,7,7,7,7,5,4,4,4,5,5,5,5,5,5,6,6,6,6,7,6,4,4,4,4
Guinea-Bissau,,,6,6,6,6,6,6,6,6,,7,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,4,4,4,6,4,3,4,4,4,4,4,4,6,6,5,5,5,5,5,5,5
Equatorial Guinea,6,6,6,6,6,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Greece,6,7,2,2,2,2,2,2,1,1,,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1
Grenada,,,2,2,2,2,2,5,6,6,,7,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guatemala,2,2,4,4,4,3,3,4,6,6,,6,5,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4
Guyana,2,4,7,4,3,3,4,4,5,5,,5,5,5,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Honduras,7,6,6,6,6,6,6,6,4,2,,3,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Croatia,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Haiti,7,6,6,6,6,7,7,7,7,7,,7,7,7,5,6,7,7,4,7,7,7,5,5,4,4,5,5,6,6,6,6,7,7,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Hungary,6,6,6,6,6,6,6,6,6,6,,6,6,5,5,5,5,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3
Indonesia,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
India,2,2,2,2,3,2,2,2,2,2,,2,2,2,2,2,2,2,2,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ireland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Iran,5,5,5,6,6,6,5,5,5,6,,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Iraq,7,7,7,7,7,7,7,7,6,6,,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,6,5,6,5,5,5,5,5,5
Iceland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Israel,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Italy,1,1,1,1,2,2,2,2,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
Jamaica,1,1,1,1,1,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Jordan,6,6,6,6,6,6,6,6,6,6,,6,5,5,5,5,6,5,5,4,3,4,4,4,4,4,4,4,4,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,5,5,5,5,6
Japan,2,2,2,2,2,2,2,2,1,1,,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kazakhstan,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
Kenya,5,5,5,5,5,5,5,5,5,5,,5,6,6,6,6,6,6,6,6,4,5,6,7,7,6,6,6,6,6,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,5,4,5,4,4,4,4,5,5,6,6,6,6,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,7
Cambodia,6,6,6,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,6,6,4,4,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Kiribati,,,,,,,,2,2,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
St. Kitts and Nevis,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2
South Korea,5,4,5,5,5,5,4,4,5,5,,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Kuwait,4,4,4,4,6,6,6,6,6,4,,4,4,4,6,6,6,6,7,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
Lao,5,5,5,6,7,7,7,7,7,7,,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Lebanon,2,2,2,4,4,4,4,4,4,5,,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
Liberia,6,6,6,6,6,6,6,6,6,6,,5,6,5,5,5,5,6,7,7,7,6,7,7,7,4,4,4,5,6,6,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Libya,7,7,7,7,7,6,6,6,6,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,6,6,7,7,7,7,7
St. Lucia,,,,,,,,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Liechtenstein,4,4,4,4,4,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Sri Lanka,2,2,2,2,2,2,2,2,2,2,,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,4,3,3,3,4,4
Lesotho,7,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,6,6,6,6,6,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3
Lithuania,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luxembourg,2,2,2,2,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Latvia,,,,,,,,,,,,,,,,,,,,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1
Morocco,5,5,5,5,5,3,3,4,4,4,,4,4,4,4,4,4,4,4,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Monaco,4,4,4,4,4,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
Moldova,,,,,,,,,,,,,,,,,,,,5,5,5,4,4,3,3,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
Madagascar,5,5,5,5,6,5,6,6,6,6,,5,5,5,5,5,5,5,4,4,4,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,6,6,6,6,5,4,3,3,3,3,3,3
Maldives,3,3,3,4,4,4,5,5,5,5,,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,3,3,5,4,4,4,5,5,5,4,4
Mexico,5,4,4,4,4,4,4,3,3,3,,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Marshall Islands,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Macedonia,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3
Mali,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,6,6,6,6,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,7,5,5,5,5,5,4,5,6
Malta,1,1,1,1,1,2,2,2,2,2,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Myanmar,7,7,7,6,6,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,5,5
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
Mongolia,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Mozambique,,,,6,7,7,7,7,7,7,,7,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5
Mauritania,6,6,5,6,6,6,6,7,7,7,,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,6,6,6,5,5,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,5,5
Mauritius,3,3,3,3,3,2,2,2,3,2,,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Malawi,7,7,7,7,7,7,6,6,6,6,,6,6,6,6,6,6,7,7,7,6,6,2,2,2,2,2,3,3,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
Malaysia,2,2,3,3,3,3,3,3,3,3,,3,3,3,3,3,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Namibia,6,6,6,,,,,,,,,,,,,,,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
Niger,6,6,7,7,7,7,7,7,7,7,,7,7,7,7,7,6,7,6,6,5,3,3,3,7,7,7,5,4,4,4,4,3,3,3,3,3,5,5,3,3,3,3,3,4,4,4,4,4
Nigeria,6,6,6,6,6,5,5,2,2,2,,2,7,7,7,6,5,6,5,5,5,7,7,7,7,7,6,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,4,4
Nicaragua,4,5,5,5,5,5,5,5,5,6,,6,5,5,5,5,5,5,3,3,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5,4,4,4,5,5,6,6,6
Netherlands,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Norway,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepal,6,6,6,6,6,6,6,5,3,3,,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,4,5,5,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3
Nauru,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
New Zealand,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,7,7,7,7,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Pakistan,3,3,3,5,4,6,6,6,7,7,,7,7,4,4,4,3,3,4,4,4,3,3,3,4,4,4,7,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,5,5,5
Panama,7,7,7,7,7,6,5,5,4,5,,5,4,6,6,5,6,7,4,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2
Peru,7,7,6,6,6,6,5,5,2,2,,2,2,2,2,2,2,2,3,3,6,5,5,5,4,5,5,5,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
